Monthly data for lake:, hur
Subbasin:, Overbasin (lake+land)
DataType:, Precipitation
DataType:, Sum of daily precipitation values
Units:, mm
YYYY,       Jan,       Feb,       Mar,       Apr,       May,       Jun,       Jul,       Aug,       Sep,       Oct,       Nov,       Dec
1988,    51.550,    57.620,    54.070,    69.020,    30.480,    26.840,    81.780,    91.240,    88.200,   132.120,   116.610,    56.410
1989,    42.370,    34.370,    65.480,    45.650,    78.590,    90.060,    14.700,    73.190,    52.940,    59.580,   102.040,    61.050
1990,    69.230,    49.420,    55.210,    50.940,    87.810,    95.850,    72.920,    87.450,    90.170,   121.680,   107.800,    73.760
1991,    45.360,    37.260,    93.560,   116.750,   105.620,    33.660,   103.250,    62.080,    65.200,   137.300,    72.280,    63.050
1992,    61.470,    44.860,    49.670,    99.320,    33.050,    55.350,   103.830,    95.820,   105.300,    64.290,   125.220,    51.090
1993,    76.020,    32.260,    20.500,    95.290,    69.270,   107.820,    57.450,   102.150,   100.990,    74.610,    61.890,    44.310
1994,    76.080,    37.990,    46.740,    77.350,    67.390,   104.820,   125.130,   127.710,    64.300,    55.540,    99.310,    27.990
1995,    71.580,    32.910,    40.050,    88.540,    58.560,    62.080,    89.820,   100.520,    57.900,    88.720,   126.570,    64.480
1996,    59.780,    49.930,    32.180,    97.750,    77.850,   112.960,   100.380,    56.070,   146.930,    79.420,    58.850,    96.480
1997,   102.100,    88.840,    64.470,    32.760,    89.790,    38.480,    80.670,   109.900,    90.930,    52.310,    42.750,    25.800
1998,    87.730,    29.530,   120.070,    45.980,    57.180,    61.230,    40.780,    66.100,    65.160,    69.960,    64.250,    59.660
1999,    96.690,    37.120,    20.840,    56.750,    58.960,    97.630,    92.910,    57.690,    79.240,    58.950,    44.350,    71.840
2000,    48.960,    46.040,    32.340,    57.690,   128.690,   106.600,    76.590,    90.240,    95.620,    37.350,    80.360,   102.120
2001,    40.940,    81.100,    23.820,    59.140,    94.900,    76.610,    34.390,    86.430,   143.140,   135.150,    59.550,    67.630
2002,    32.560,    67.550,    72.780,    89.370,    97.190,    84.000,    82.380,    74.070,    38.080,    69.950,    48.340,    40.180
2003,    44.970,    37.030,    52.720,    67.860,   104.290,    69.920,    91.600,    57.730,    86.950,    63.900,   130.790,    64.150
2004,    83.240,    34.390,    73.330,    55.360,   164.400,    70.800,    86.840,    64.770,    19.680,    89.840,    73.340,    96.250
2005,    82.280,    48.740,    36.010,    50.690,    38.110,    76.020,    89.530,    86.780,   100.140,    33.010,   113.850,    71.300
2006,    86.780,    75.390,    58.440,    65.940,    87.620,    59.180,    98.120,    81.880,    91.700,   125.910,    73.120,    83.230
2007,    61.460,    32.980,    61.190,    85.540,    60.020,    64.760,    56.700,    73.790,    58.660,    85.980,    54.600,    75.960
2008,    94.390,    77.040,    45.000,    68.890,    72.630,   127.550,    94.940,    68.610,   114.090,    60.820,    90.360,   124.570
2009,    47.260,    75.560,    58.770,   102.510,    71.580,    95.330,    67.570,   102.610,    51.630,   122.580,    30.890,    65.660
2010,    29.610,    23.760,    14.720,    50.040,    82.030,   155.490,    91.030,    55.280,   115.800,    56.430,    60.500,    47.370
2011,    51.930,    39.470,    68.530,   151.050,    96.370,    99.130,    56.590,    87.410,   100.510,   114.700,    78.460,    53.060
2012,    61.310,    33.760,    63.440,    40.690,    58.210,    77.000,    67.950,    88.780,    68.150,   129.530,    26.430,    67.040
2013,    98.190,    66.870,    36.560,   151.190,   102.990,    74.640,    81.280,    65.320,    62.310,   119.680,    88.910,    72.060
2014,    67.580,    41.290,    37.570,   108.390,    85.260,    70.310,   108.100,    94.590,   107.580,    89.900,    91.020,    47.490
2015,    43.010,    33.910,    21.310,    58.030,    87.710,    95.680,    44.410,   100.970,    77.260,    69.680,    77.330,    89.100
2016,    59.080,    66.620,   124.220,    70.700,    50.810,    47.780,    70.730,   116.230,    79.570,    76.700,    50.600,    69.730
2017,    77.140,    60.000,    74.280,   123.620,    82.980,   142.290,    75.670,    78.190,    53.890,   130.420,    77.400,    51.890
2018,    60.110,    76.260,    30.260,   111.540,    82.630,    38.790,    64.050,   128.610,    64.220,   115.560,    74.180,    60.090
2019,    72.030,    66.220,    49.000,    93.520,   113.820,   101.700,    61.280,    45.830,   101.320,   132.470,    83.910,    75.920
2020,    68.090,    41.800,    65.180,    66.690,   101.550,    61.470,    91.730,   129.010,    72.680,    96.700,    50.770,    51.260
2021,    34.190,        NA,        NA,        NA,        NA,        NA,        NA,        NA,        NA,        NA,        NA,        NA
