Monthly data for lake:, geo
Subbasin:, Overbasin (lake+land)
DataType:, Precipitation
DataType:, Sum of daily precipitation values
Units:, mm
YYYY,       Jan,       Feb,       Mar,       Apr,       May,       Jun,       Jul,       Aug,       Sep,       Oct,       Nov,       Dec
1988,    84.560,    78.650,    75.070,    77.010,    65.500,    39.040,    54.470,   141.340,    83.960,   148.790,   129.690,    80.710
1989,    79.650,    55.050,    83.270,    48.780,    79.160,    96.300,    23.370,    70.810,    45.310,    75.380,   131.410,    70.910
1990,    81.750,    51.540,    44.300,    55.900,   105.080,   125.010,    78.230,    45.040,    98.690,   130.800,   115.320,    83.910
1991,    68.960,    37.780,   104.770,    92.810,    80.980,    31.940,   100.880,    44.060,   112.710,   142.020,    80.400,    79.900
1992,    73.150,    62.900,    60.200,    52.280,    43.170,    56.270,    93.980,   104.620,   125.240,    66.400,   117.870,    78.560
1993,    85.530,    24.760,    23.960,    81.340,   106.790,    79.950,    60.670,    84.570,   114.490,   118.970,    77.430,    60.310
1994,    75.900,    50.260,    41.290,    54.310,    93.700,    94.420,   114.960,   127.560,    69.310,    70.710,    98.820,    33.930
1995,    88.340,    46.440,    45.460,   103.010,   109.530,    53.020,   114.520,    98.220,    88.850,   120.760,   136.760,    82.880
1996,    90.720,    64.680,    41.550,   110.300,    48.650,    83.740,   121.010,    63.480,   144.780,    92.340,    76.370,   117.870
1997,   137.360,    79.340,    63.710,    53.990,    80.920,    59.760,    65.570,    99.860,    79.670,    66.410,    59.720,    34.610
1998,    89.620,    21.820,   132.850,    39.340,    57.830,    96.980,    48.850,    68.790,    81.230,    59.030,    87.370,    75.390
1999,   111.090,    53.690,    19.370,    27.500,    83.180,    89.270,   118.230,    75.890,   116.700,    89.750,    71.470,   102.610
2000,    72.530,    54.890,    48.900,    39.580,    82.250,   107.010,    70.020,    78.160,    76.700,    44.030,   105.350,    99.820
2001,    63.310,    88.550,    43.630,    65.040,   114.650,    64.920,    28.660,   104.070,   155.600,   168.590,    93.070,    89.340
2002,    43.960,    96.310,   100.800,    76.330,   101.810,   100.480,    63.890,    61.760,    90.580,    91.610,    74.560,    68.750
2003,    67.050,    52.210,    73.520,    62.790,   100.360,    91.590,    99.470,    90.610,   120.400,   100.870,   145.260,    70.890
2004,    70.160,    42.910,    92.160,    58.120,   142.390,    56.540,   107.120,    71.600,    34.280,   117.330,    82.000,   116.650
2005,    78.640,    44.050,    37.880,    75.890,    27.370,    61.890,    72.860,    85.880,    88.060,    57.700,   136.010,    76.860
2006,    92.060,    98.820,    53.190,    66.560,    84.330,    61.610,    95.820,    59.850,   108.230,   131.160,    76.560,   105.350
2007,    58.390,    43.180,    62.290,    77.790,    46.840,    75.930,    91.970,    64.310,    67.140,   114.990,    85.530,    97.670
2008,   125.250,    76.170,    74.710,    79.880,   104.800,    98.520,    93.910,    95.550,    86.730,    63.610,   110.540,   169.220
2009,    57.870,    80.200,    60.560,   106.100,    86.440,    79.810,   108.340,    96.820,    60.430,   151.130,    58.380,    93.800
2010,    39.240,    20.650,     6.400,    48.800,    54.320,   136.430,    54.160,   106.890,   172.800,    65.400,    82.610,    58.520
2011,    63.480,    39.780,    61.420,   141.030,    84.050,    91.340,    58.800,    80.320,    97.080,   121.760,    97.820,    73.430
2012,    83.900,    36.760,    56.470,    50.410,    31.270,    99.830,    48.610,    98.890,   109.110,   147.450,    48.250,    71.270
2013,   113.320,    68.310,    59.430,   126.180,    97.530,    85.740,    86.180,    99.150,    74.690,   142.870,   114.430,    84.140
2014,    94.580,    42.440,    48.150,   104.040,    75.280,    82.460,   102.210,   129.230,   108.130,   153.370,   120.160,    69.510
2015,    62.550,    43.040,    35.900,    82.390,    89.120,    85.540,    40.950,    84.250,    56.310,    97.400,   105.750,   126.720
2016,    83.690,    83.950,   121.160,    51.360,    45.140,    39.080,    66.840,   113.180,    71.590,    74.950,    45.350,   112.920
2017,    71.850,    89.470,    59.320,   121.590,    90.570,   136.260,    86.420,   107.110,    50.180,   111.400,    74.750,    68.900
2018,    52.180,    46.920,    25.310,    82.450,    68.860,    38.190,    54.380,   113.620,    75.310,   135.940,    95.720,    69.240
2019,    63.430,    93.780,    53.140,   114.890,   106.490,    90.980,    64.030,    72.620,   122.220,   146.810,    82.180,    74.380
2020,    37.490,    48.120,    73.490,    79.560,    49.280,    85.940,   120.110,   154.680,    95.780,   116.110,    73.980,    66.600
2021,    22.590,        NA,        NA,        NA,        NA,        NA,        NA,        NA,        NA,        NA,        NA,        NA
