Monthly data for lake:, mic
Subbasin:, Overbasin (lake+land)
DataType:, Precipitation
DataType:, Sum of daily precipitation values
Units:, mm
YYYY,       Jan,       Feb,       Mar,       Apr,       May,       Jun,       Jul,       Aug,       Sep,       Oct,       Nov,       Dec
1988,    47.380,    27.260,    47.500,    74.640,    24.410,    25.280,    70.700,   103.040,   105.490,   104.980,   129.660,    47.440
1989,    29.710,    20.690,    59.140,    32.310,   109.540,    82.390,    60.020,    87.100,    49.940,    61.660,    57.060,    30.290
1990,    48.910,    41.120,    62.340,    50.040,   121.910,   141.470,    71.910,    96.000,   101.650,    99.900,    84.430,    57.390
1991,    28.750,    18.050,    81.090,    97.510,    94.610,    54.350,   118.520,    57.410,    87.100,   151.990,    89.500,    47.900
1992,    32.850,    32.810,    55.240,    74.160,    37.880,    52.390,   108.520,    68.890,   134.450,    53.080,   127.210,    63.790
1993,    58.550,    18.030,    30.140,   118.470,    81.420,   152.860,    96.220,    98.140,   109.510,    60.540,    52.360,    26.620
1994,    50.710,    42.170,    29.680,    80.130,    43.520,    90.220,   119.660,   112.660,    79.790,    49.850,    86.140,    20.880
1995,    52.730,    25.640,    47.430,    84.850,    77.500,    51.470,    77.010,   124.410,    54.610,   114.290,    84.370,    43.330
1996,    64.410,    33.180,    34.660,    88.690,    74.660,   148.210,    91.590,    54.670,    74.390,    89.140,    46.550,    64.560
1997,    75.660,    60.060,    48.720,    29.800,    92.510,    90.220,    76.850,   107.820,    72.680,    53.960,    41.520,    29.980
1998,    71.410,    31.850,    98.640,    69.340,    58.550,    95.820,    44.320,    98.140,    66.340,    75.140,    59.850,    34.390
1999,    86.150,    35.200,    17.640,    92.250,    93.250,   103.250,   137.270,    65.680,    61.390,    39.800,    27.080,    56.390
2000,    41.160,    36.240,    41.150,    71.000,   124.580,   109.500,   101.830,    80.680,   127.630,    37.150,    76.870,    60.700
2001,    30.620,    59.830,    16.550,    83.230,   134.880,    94.630,    51.880,   107.090,   111.200,   127.840,    62.090,    49.780
2002,    26.900,    49.500,    69.840,   107.610,    98.270,    95.580,    76.670,   105.680,    60.730,    86.920,    32.350,    26.900
2003,    20.120,    25.030,    52.480,    78.970,   103.580,    57.200,    90.300,    73.290,    85.840,    58.400,   124.240,    47.920
2004,    45.850,    36.480,    99.540,    51.840,   188.250,   104.610,    77.890,    87.710,    25.260,   103.750,    73.800,    71.010
2005,    72.510,    48.620,    41.240,    31.920,    54.460,    57.400,    84.920,    74.670,    89.910,    42.520,   110.190,    42.980
2006,    70.270,    36.700,    55.200,    60.920,   130.780,    52.960,   100.200,    84.600,    93.420,   107.850,    58.600,    72.240
2007,    48.180,    31.820,    71.640,    76.270,    54.670,    71.780,    67.740,   125.820,    60.530,    97.990,    30.590,    71.760
2008,    83.740,    78.210,    38.890,   106.860,    64.590,   136.670,    92.290,    33.160,   122.690,    58.890,    52.740,   116.000
2009,    30.550,    56.510,    63.540,    97.520,    84.940,    84.040,    47.260,   119.640,    41.090,   150.740,    31.370,    71.800
2010,    24.260,    28.660,    20.420,    63.750,    89.850,   162.010,   135.470,    62.700,   128.340,    52.040,    47.850,    43.240
2011,    46.000,    40.450,    58.150,   141.420,   101.690,   102.540,    83.510,    72.930,    97.190,    74.300,    84.390,    46.890
2012,    49.990,    31.920,    69.600,    59.390,    84.090,    67.730,    96.260,    64.230,    58.520,   130.600,    23.700,    65.500
2013,    77.250,    66.120,    41.580,   135.920,    87.120,   100.880,    79.930,    78.850,    57.280,    99.170,   110.360,    52.240
2014,    59.920,    38.260,    35.180,   103.190,    89.300,   122.600,    71.180,    95.250,    98.630,   116.950,    86.730,    40.280
2015,    30.030,    25.740,    20.740,    72.670,   110.590,    98.150,    64.790,    86.670,    92.370,    62.460,    88.840,   115.530
2016,    39.870,    37.710,    95.030,    66.330,    68.160,    87.040,   102.020,   125.770,   111.680,    90.110,    53.410,    60.380
2017,    69.740,    39.760,    81.110,   111.170,    88.880,   138.170,    86.540,    86.080,    39.140,   165.190,    57.950,    45.780
2018,    43.920,    72.110,    27.510,    81.410,   123.820,    99.130,    71.380,   134.260,    97.050,   136.260,    62.130,    43.830
2019,    64.360,    79.610,    46.470,    96.700,   135.850,   105.540,    93.420,    81.880,   164.440,   148.380,    64.510,    87.500
2020,    63.310,    27.630,    86.100,    82.990,   116.790,    98.080,   109.640,    83.750,    74.970,   104.170,    60.440,    35.700
2021,        NA,        NA,        NA,        NA,        NA,        NA,        NA,        NA,        NA,        NA,        NA,        NA
