"Monthly tabular output of data from lltm_output_mic.csv"
"Output from the NOAA/GLERL Large Lake Thermodynamics Model."
"Evaporation (MM)"
YYYY,     Jan,     Feb,     Mar,     Apr,     May,     Jun,      Jul,     Aug,     Sep,     Oct,     Nov,     Dec
1997,    60.37,    27.58,    23.62,    11.44,     0.56,    -5.58,    -4.80,     7.51,    30.22,    68.25,    76.88,    67.08
1998,    45.02,    11.30,    37.53,     7.51,    -2.47,     2.09,    16.86,    21.26,    48.64,    64.00,    85.45,   103.99
1999,    94.64,    37.02,    38.65,     6.51,     0.15,     4.59,     3.32,    40.10,    64.29,    75.93,    68.07,   105.08
2000,    94.57,    30.19,    21.46,    18.44,     0.16,     2.39,    15.94,    22.32,    67.57,    50.71,    93.77,   129.68
2001,    50.49,    53.16,    32.50,     4.08,    -4.33,    -5.13,     8.00,    19.02,    59.67,    75.22,    40.67,    89.28
2002,    80.96,    60.14,    56.91,    17.11,     8.05,    -2.69,     8.27,    29.70,    49.31,   102.81,    95.81,    99.73
2003,    92.57,    46.79,    22.20,     6.62,    -2.41,    -3.85,     0.93,    17.98,    71.81,    66.36,    79.07,    83.39
2004,    97.32,    27.35,    14.25,    10.12,    -1.61,     1.58,    10.65,    43.97,    36.00,    65.58,    71.32,   115.64
2005,    80.29,    29.21,    36.67,     9.97,     9.71,     9.56,    53.26,    63.51,    72.45,    81.65,   108.79,   113.37
2006,    61.44,    74.31,    34.03,    13.84,    19.63,    34.34,    38.05,    79.37,    80.34,   100.95,    62.25,    85.02
2007,    94.59,    81.60,    29.87,    24.21,    10.52,    31.58,    51.30,    64.40,    74.36,    68.90,   116.20,   103.18
2008,    96.75,    54.37,    36.74,    11.66,    15.22,    10.35,    32.00,    64.60,    61.77,    95.81,    88.52,   122.96
2009,    87.93,    34.45,    27.46,    15.83,     4.75,    12.35,    39.52,    54.56,    59.14,    80.01,    50.83,   108.69
2010,    93.34,    36.91,    19.92,    12.17,    17.59,    22.60,    30.63,    58.00,    87.18,    83.74,    93.83,   122.31
2011,    98.73,    50.46,    36.10,    12.42,     5.80,    10.69,    20.34,    67.33,    85.34,    74.92,    76.03,    83.95
2012,    84.90,    56.69,    22.08,    41.93,    22.18,    31.63,    49.06,    79.03,   104.15,    93.91,    82.30,    80.76
2013,   102.88,    65.03,    46.65,    23.25,     9.79,    12.51,    45.54,    40.50,    74.18,    81.28,   109.26,   116.55
2014,    94.86,    45.65,    30.59,     4.59,    -2.07,    -4.71,    12.19,    26.94,    62.07,    69.39,   104.54,    68.97
2015,    71.98,    59.96,    21.64,     5.05,    -2.33,     0.04,    20.06,    54.67,    50.14,    81.29,    68.61,    65.39
2016,    97.46,    57.77,    21.56,    25.22,    14.44,    24.00,    34.19,    50.01,    69.06,    67.15,    69.76,   133.10
2017,    81.59,    55.89,    48.55,    11.45,    23.20,    17.73,    29.45,    60.99,    52.39,    79.81,   100.70,   122.72
2018,    88.75,    39.62,    45.56,    36.49,    -0.76,     8.09,    38.06,    48.44,    71.53,    93.03,   104.96,    71.81
2019,   103.32,    39.91,    30.26,    11.43,    -0.21,     5.99,    26.06,    62.71,    37.16,    89.09,    97.70,    76.58
2020,    72.77,    59.42,    21.83,    20.38,    18.67,    15.05,    33.80,    61.80,    78.59,    98.67,    76.05,    93.42
