"Monthly tabular output of data from lltm_output_geo.csv"
"Output from the NOAA/GLERL Large Lake Thermodynamics Model."
"Evaporation (MM)"
YYYY,     Jan,     Feb,     Mar,     Apr,     May,     Jun,      Jul,     Aug,     Sep,     Oct,     Nov,     Dec
1998,    75.13,    30.16,    40.37,    10.82,     5.36,    18.23,    51.16,    60.03,    82.50,   104.69,   119.54,   125.88
1999,   101.08,    50.22,    42.37,    11.23,     7.58,    15.06,    23.32,    85.13,    85.86,   117.19,   112.81,   124.28
2000,    95.25,    45.00,    21.02,    15.65,     6.81,    11.30,    35.91,    56.20,   100.22,    73.89,   109.37,   134.37
2001,    64.15,    54.53,    31.71,     4.11,     1.21,     2.15,    37.96,    51.42,    87.13,   107.78,    84.92,   102.07
2002,    90.51,    65.08,    51.32,    17.52,    16.02,     3.19,    22.90,    65.82,    72.19,   129.42,   115.76,   125.14
2003,    92.90,    37.91,    13.78,    12.13,    -1.99,    -2.00,     7.58,    49.62,    86.49,    92.85,    96.85,    94.08
2004,   109.56,    39.79,    26.41,    12.53,     1.40,    13.10,    21.21,    75.08,    62.58,   101.38,   106.07,   132.39
2005,    93.06,    47.19,    38.97,     6.21,     6.75,     6.68,    62.96,    84.17,    98.47,   116.47,   140.57,   134.83
2006,    72.75,    67.20,    39.96,     9.14,     8.36,    14.00,    22.11,    88.73,    88.54,   120.69,    80.85,   105.05
2007,    97.18,    85.34,    37.24,    14.21,     1.01,     7.31,    28.57,    71.46,    74.61,    77.96,   144.36,   121.35
2008,    83.38,    63.39,    44.60,     6.70,     8.45,     5.50,    30.13,    73.80,    83.14,   122.64,   109.46,   136.08
2009,    85.32,    44.62,    27.00,     9.05,     5.24,     3.07,    28.74,    58.74,    76.40,   103.21,    63.84,   129.69
2010,    93.39,    49.50,    18.67,     9.04,    14.18,    32.25,    47.48,    74.21,    95.04,   107.25,   119.02,   131.24
2011,    82.47,    57.17,    36.79,    10.56,     2.50,    15.51,    36.20,    79.25,    88.17,    95.83,    98.08,   105.76
2012,    84.65,    50.44,    27.10,    42.09,    29.24,    55.21,    82.98,    98.99,   103.24,   103.85,   100.75,    88.49
2013,    81.46,    55.62,    41.19,    28.41,    35.62,    42.56,    74.20,    80.08,    87.13,    83.65,   125.23,   100.29
2014,    86.57,    49.59,    40.97,    11.13,     4.39,    26.43,    78.47,    65.80,    76.18,    80.65,   113.70,    78.20
2015,    89.01,    66.15,    33.03,    15.19,     9.79,    30.93,    49.36,    84.11,    72.33,   103.88,    75.34,    71.58
2016,    87.63,    60.56,    32.51,    42.27,    33.07,    60.38,    66.08,    76.58,    90.19,    94.31,    92.86,   117.80
2017,    69.92,    47.68,    53.13,    22.91,    37.08,    43.01,    60.62,    85.16,    68.19,    90.87,   117.28,   114.97
2018,    80.29,    37.01,    43.29,    32.11,    15.45,    53.24,    71.85,    78.17,    85.23,   108.42,   106.10,    77.02
2019,   110.77,    58.13,    36.12,    10.33,     0.10,     8.10,    28.63,    86.09,    66.01,   104.64,   136.46,   104.47
2020,    75.70,    64.62,    26.48,    25.29,    19.51,    19.05,    40.15,    80.67,    99.80,   117.16,   111.41,   122.68
