"Monthly tabular output of data from lltm_output_hur.csv"
"Output from the NOAA/GLERL Large Lake Thermodynamics Model."
"Evaporation (MM)"
YYYY,     Jan,     Feb,     Mar,     Apr,     May,     Jun,      Jul,     Aug,     Sep,     Oct,     Nov,     Dec
1997,    76.68,    32.12,    35.77,    16.13,     4.69,     1.19,    30.75,    52.65,    41.18,    58.71,    65.30,    58.85
1998,    58.62,    20.02,    30.77,     7.09,    -2.22,     5.42,    14.55,    27.99,    47.06,    59.19,    68.17,    73.11
1999,   108.92,    40.41,    39.94,     8.39,    -0.78,     0.42,     1.22,    35.54,    47.43,    69.96,    67.46,    98.33
2000,    85.27,    32.76,    22.15,    15.76,     1.24,     4.28,    22.09,    31.18,    67.83,    49.93,    77.87,   128.02
2001,    55.50,    45.75,    34.67,     2.93,    -1.79,    -1.55,    19.29,    26.11,    60.40,    75.57,    46.33,    73.16
2002,    74.30,    59.96,    47.28,    19.28,    19.20,     1.78,    16.54,    41.05,    46.76,   101.51,    97.37,   120.24
2003,   100.69,    36.71,    15.76,     7.23,    -2.66,    -4.10,    -0.72,    11.54,    51.94,    63.71,    64.46,    77.29
2004,    93.68,    24.80,    19.76,    10.20,    -1.78,    -1.69,     1.83,    32.92,    32.92,    63.12,    68.52,   104.54
2005,    80.31,    33.03,    38.51,    10.22,     3.18,     1.52,    40.62,    60.42,    75.39,    86.74,   105.15,   118.45
2006,    66.06,    64.66,    38.75,    10.89,     5.29,    13.15,    17.50,    69.90,    66.86,    94.96,    61.35,    87.26
2007,    94.50,    75.28,    37.59,    20.47,     0.10,     8.11,    28.07,    57.15,    60.05,    60.55,   117.83,   109.53
2008,    81.94,    54.14,    44.32,     8.13,     3.28,     0.42,    15.28,    53.93,    56.02,    95.07,    89.24,   123.96
2009,    74.88,    30.86,    25.41,    13.82,     1.86,     0.28,    16.94,    39.26,    54.45,    75.76,    46.38,   107.45
2010,    83.39,    41.61,    22.44,     7.44,     6.36,    14.48,    22.56,    48.49,    78.03,    79.64,    94.10,   131.84
2011,    87.15,    49.18,    38.12,    11.23,    -2.16,     0.38,     8.12,    50.64,    67.67,    75.55,    74.82,    88.99
2012,    85.18,    44.32,    23.24,    27.12,    12.92,    21.05,    45.14,    64.28,    97.03,    90.11,    92.45,    89.05
2013,    96.41,    54.96,    43.05,    23.46,     3.69,     4.19,    32.35,    42.67,    72.91,    74.07,   118.40,   113.40
2014,    87.11,    35.00,    24.81,     5.33,    -2.66,    -4.10,     6.12,    25.61,    50.51,    64.13,   105.74,    72.54
2015,    79.42,    47.67,    21.33,     3.97,    -3.17,    -3.25,     5.84,    36.61,    44.97,    84.10,    62.29,    64.08
2016,   100.59,    55.08,    25.90,    27.07,     4.57,    19.70,    28.41,    42.14,    71.49,    77.35,    78.75,   136.71
2017,    79.55,    45.42,    54.55,     4.93,     8.38,     6.38,    17.16,    50.96,    49.19,    72.21,   108.10,   125.11
2018,    84.08,    38.34,    48.26,    32.20,    -2.06,     3.81,    23.76,    35.80,    68.27,    96.17,   104.81,    73.00
2019,    98.14,    36.69,    28.69,    10.59,    -1.43,    -1.20,     8.77,    55.41,    39.00,    77.00,   103.70,    83.24
2020,    63.39,    58.94,    24.26,    23.28,     9.85,     7.19,    22.75,    53.65,    74.70,    89.28,    79.92,   101.89
