"Monthly tabular output of data from lltm_output_eri.csv"
"Output from the NOAA/GLERL Large Lake Thermodynamics Model."
"Evaporation (MM)"
YYYY,     Jan,     Feb,     Mar,     Apr,     May,     Jun,      Jul,     Aug,     Sep,     Oct,     Nov,     Dec
1998,    32.37,    18.20,    32.57,    19.07,    16.31,    41.80,    91.64,   101.41,   152.71,   203.60,   150.69,   115.70
1999,    49.77,    22.15,    28.50,     7.82,    22.06,    36.66,    62.94,   143.22,   157.39,   191.96,   137.22,   109.85
2000,    50.90,    15.90,    10.51,    15.02,    18.96,    30.59,    75.13,   101.86,   181.89,   137.85,   172.19,   105.22
2001,    20.79,    27.75,    18.65,    -0.36,     9.14,    15.03,    81.40,   102.27,   178.50,   196.40,    94.29,   121.59
2002,    43.96,    53.39,    39.40,    15.85,    31.93,    16.32,    65.21,   112.29,   136.22,   217.05,   153.46,    85.18
2003,    53.30,    15.77,     6.82,     2.15,    -0.24,    15.14,    55.12,    95.50,   166.99,   174.40,   125.20,    99.84
2004,    57.49,    14.55,     8.79,     2.14,     6.83,    42.72,    64.79,   102.56,   131.84,   173.89,   141.22,   120.57
2005,    37.95,    14.64,    15.39,     9.58,    26.07,    29.30,    91.83,   129.20,   159.02,   196.28,   166.48,    95.47
2006,    24.17,    40.25,    23.88,    16.26,    31.44,    50.62,    73.43,   144.68,   164.57,   193.99,    83.43,    90.05
2007,    63.36,    35.31,    11.57,    11.49,    15.43,    56.10,    91.05,   111.36,   140.64,   167.04,   174.27,    94.92
2008,    60.37,    16.45,    12.24,     5.53,    14.63,    27.23,    38.00,   104.78,   153.69,   193.90,   118.32,    60.66
2009,    16.41,     8.06,     6.09,    -0.37,     8.70,    26.05,    70.65,   105.20,   135.15,   165.40,   100.76,   120.61
2010,    50.84,    20.76,     7.27,    13.82,    24.02,    53.30,    88.44,   124.61,   187.65,   193.11,   132.82,   114.00
2011,    34.00,    17.82,    11.83,     0.10,     1.68,    36.77,    64.96,   134.98,   137.45,   179.60,   131.46,    88.35
2012,    61.99,    29.22,    21.15,    46.27,    26.56,    69.89,   104.09,   141.81,   184.51,   181.05,   121.34,    77.12
2013,    60.50,    29.02,    25.42,    13.28,    32.42,    31.68,    91.67,    99.68,   154.37,   181.68,   184.02,    78.71
2014,    39.58,    12.16,    12.97,     1.23,    -2.77,    12.69,    84.98,    88.99,   133.21,   169.87,   176.23,    65.57
2015,    42.95,    15.30,    10.41,     0.12,     2.86,    22.15,    60.52,   111.69,   120.46,   193.23,   122.91,    70.97
2016,    83.81,    30.40,    13.22,    31.02,    24.43,    60.07,    75.17,   115.27,   158.83,   184.97,   148.02,   127.25
2017,    38.25,    26.45,    37.28,     5.61,    29.76,    52.38,    78.93,   131.60,   127.29,   188.61,   161.24,   113.47
2018,    28.28,     9.83,    19.64,    15.33,     1.26,    35.11,    87.77,   103.73,   144.78,   220.92,   155.88,    61.61
2019,    59.47,    19.29,    14.62,     2.33,     4.76,    31.01,    72.24,   126.78,   119.48,   196.36,   164.93,    79.94
2020,    40.81,    40.38,    10.21,    34.39,    32.29,    42.69,    78.45,   127.29,   168.52,   176.66,   135.91,   107.90
